Browser Name,Browser Version
firefox,125.0.3
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
14 ms,8 ms
5 ms,8 ms
5 ms,7 ms
5 ms,10 ms
5 ms,11 ms
5 ms,13 ms
5 ms,10 ms
7 ms,10 ms
5 ms,27 ms
6 ms,11 ms
26 ms,9 ms
4 ms,9 ms
14 ms,8 ms
4 ms,8 ms
6 ms,13 ms
16 ms,37 ms
5 ms,9 ms
6 ms,8 ms
4 ms,12 ms
7 ms,9 ms
6 ms,11 ms
6 ms,10 ms
5 ms,8 ms
5 ms,8 ms
6 ms,15 ms
5 ms,11 ms
6 ms,11 ms
8 ms,10 ms
5 ms,8 ms
5 ms,10 ms
5 ms,9 ms
5 ms,9 ms
7 ms,10 ms
10 ms,9 ms
14 ms,9 ms
5 ms,9 ms
23 ms,9 ms
4 ms,11 ms
8 ms,8 ms
7 ms,8 ms
7 ms,8 ms
3 ms,7 ms
4 ms,9 ms
5 ms,20 ms
6 ms,7 ms
5 ms,10 ms
5 ms,7 ms
5 ms,7 ms
5 ms,22 ms
10 ms,10 ms
5 ms,11 ms
5 ms,9 ms
6 ms,12 ms
5 ms,10 ms
7 ms,11 ms
4 ms,10 ms
6 ms,10 ms
4 ms,10 ms
5 ms,8 ms
6 ms,9 ms
5 ms,9 ms
5 ms,10 ms
5 ms,10 ms
7 ms,7 ms
7 ms,18 ms
4 ms,8 ms
4 ms,10 ms
5 ms,9 ms
5 ms,9 ms
4 ms,9 ms
7 ms,9 ms
11 ms,10 ms
8 ms,12 ms
6 ms,10 ms
6 ms,8 ms
5 ms,8 ms
4 ms,9 ms
5 ms,9 ms
6 ms,7 ms
6 ms,10 ms
5 ms,13 ms
6 ms,12 ms
23 ms,8 ms
5 ms,7 ms
5 ms,8 ms
5 ms,10 ms
16 ms,10 ms
18 ms,11 ms
4 ms,11 ms
6 ms,10 ms
8 ms,8 ms
6 ms,24 ms
6 ms,8 ms
4 ms,9 ms
5 ms,7 ms
3 ms,9 ms
5 ms,10 ms
5 ms,10 ms
6 ms,11 ms
5 ms,10 ms
5 ms,8 ms
4 ms,11 ms
5 ms,8 ms
26 ms,11 ms
6 ms,7 ms
23 ms,9 ms
4 ms,9 ms
4 ms,9 ms
8 ms,8 ms
10 ms,11 ms
9 ms,7 ms
6 ms,11 ms
5 ms,8 ms
4 ms,9 ms
4 ms,10 ms
6 ms,8 ms
18 ms,9 ms
8 ms,10 ms
5 ms,9 ms
6 ms,7 ms
6 ms,10 ms
5 ms,11 ms
4 ms,11 ms
5 ms,11 ms
6 ms,16 ms
5 ms,25 ms
6 ms,9 ms
26 ms,9 ms
6 ms,11 ms
9 ms,8 ms
5 ms,8 ms
5 ms,11 ms
7 ms,9 ms
7 ms,9 ms
4 ms,9 ms
5 ms,10 ms
5 ms,10 ms
4 ms,10 ms
4 ms,12 ms
5 ms,10 ms
8 ms,8 ms
6 ms,32 ms
8 ms,10 ms
6 ms,9 ms
6 ms,10 ms
4 ms,8 ms
5 ms,9 ms
5 ms,9 ms
6 ms,9 ms
6 ms,10 ms
5 ms,12 ms
7 ms,9 ms
5 ms,9 ms
24 ms,9 ms
21 ms,19 ms
4 ms,10 ms
7 ms,9 ms
5 ms,10 ms
7 ms,8 ms
9 ms,8 ms
8 ms,9 ms
8 ms,9 ms
4 ms,10 ms
4 ms,19 ms
4 ms,8 ms
6 ms,10 ms
24 ms,12 ms
5 ms,11 ms
5 ms,10 ms
15 ms,9 ms
4 ms,14 ms
8 ms,19 ms
6 ms,12 ms
6 ms,10 ms
5 ms,12 ms
5 ms,12 ms
5 ms,10 ms
5 ms,7 ms
3 ms,10 ms
5 ms,26 ms
5 ms,8 ms
5 ms,9 ms
7 ms,9 ms
5 ms,10 ms
5 ms,10 ms
5 ms,9 ms
5 ms,8 ms
5 ms,12 ms
7 ms,11 ms
7 ms,10 ms
5 ms,12 ms
4 ms,12 ms
5 ms,7 ms
8 ms,9 ms
6 ms,10 ms
15 ms,10 ms
4 ms,9 ms
17 ms,8 ms
4 ms,11 ms
13 ms,19 ms
