Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
2.5 ms,3.2999999970197678 ms
0.3999999910593033 ms,2.4000000059604645 ms
0.5 ms,0.3999999910593033 ms
0.5 ms,0.3999999910593033 ms
0.4000000059604645 ms,0.3999999910593033 ms
0.3999999910593033 ms,0.4000000059604645 ms
0.29999999701976776 ms,0.3999999910593033 ms
0.29999999701976776 ms,0.19999998807907104 ms
0.3999999910593033 ms,0.5 ms
0.4000000059604645 ms,0.3999999910593033 ms
0.29999999701976776 ms,0.5 ms
0.4000000059604645 ms,0.4000000059604645 ms
0.3999999910593033 ms,0.3999999910593033 ms
0.5999999940395355 ms,0.3999999910593033 ms
0.5999999940395355 ms,0.4000000059604645 ms
0.6000000089406967 ms,0.7999999970197678 ms
2 ms,0.4000000059604645 ms
0.5999999940395355 ms,0.29999999701976776 ms
0.5999999940395355 ms,0.3999999910593033 ms
0.5 ms,0.8999999910593033 ms
0.4000000059604645 ms,0.29999999701976776 ms
1.3999999910593033 ms,0.4000000059604645 ms
0.5 ms,0.3999999910593033 ms
0.3999999910593033 ms,0.29999999701976776 ms
0.7999999970197678 ms,0.29999999701976776 ms
1.0999999940395355 ms,0.5 ms
0.29999999701976776 ms,0.5 ms
0.4000000059604645 ms,0.29999999701976776 ms
0.800000011920929 ms,0.4000000059604645 ms
0.3999999910593033 ms,0.29999999701976776 ms
0.5 ms,0.29999999701976776 ms
0.4000000059604645 ms,0.4000000059604645 ms
2.4000000059604645 ms,0.30000001192092896 ms
0.5 ms,0.4000000059604645 ms
0.5 ms,0.3999999910593033 ms
0.3999999910593033 ms,0.29999999701976776 ms
0.4000000059604645 ms,0.29999999701976776 ms
0.5999999940395355 ms,0.8999999910593033 ms
0.5 ms,0.3999999910593033 ms
0.3999999910593033 ms,0.4000000059604645 ms
0.3999999910593033 ms,0.5 ms
0.4000000059604645 ms,0.4000000059604645 ms
0.3999999910593033 ms,0.3999999910593033 ms
0.3999999910593033 ms,0.4000000059604645 ms
0.5 ms,0.4000000059604645 ms
0.7000000029802322 ms,1.199999988079071 ms
0.5 ms,0.4000000059604645 ms
0.5 ms,0.3999999910593033 ms
0.7999999970197678 ms,0.3999999910593033 ms
0.4000000059604645 ms,0.4000000059604645 ms
0.5 ms,0.29999999701976776 ms
0.30000001192092896 ms,0.4000000059604645 ms
0.3999999910593033 ms,0.5 ms
0.3999999910593033 ms,0.6000000089406967 ms
1.2000000029802322 ms,0.29999999701976776 ms
0.29999999701976776 ms,0.29999999701976776 ms
0.5 ms,0.29999999701976776 ms
0.5999999940395355 ms,0.29999999701976776 ms
0.3999999910593033 ms,0.29999999701976776 ms
0.3999999910593033 ms,0.4000000059604645 ms
0.5 ms,0.3999999910593033 ms
0.5 ms,0.4000000059604645 ms
0.5999999940395355 ms,0.4000000059604645 ms
0.5999999940395355 ms,0.29999999701976776 ms
0.7000000029802322 ms,0.3999999910593033 ms
0.4000000059604645 ms,0.4000000059604645 ms
0.29999999701976776 ms,0.4000000059604645 ms
0.5 ms,0.30000001192092896 ms
0.5999999940395355 ms,0.4000000059604645 ms
0.5 ms,0.29999999701976776 ms
0.9000000059604645 ms,0.5 ms
0.4000000059604645 ms,0.6000000089406967 ms
0.6000000089406967 ms,0.29999999701976776 ms
0.29999999701976776 ms,0.4000000059604645 ms
0.29999999701976776 ms,0.30000001192092896 ms
0.5 ms,0.7999999970197678 ms
0.4000000059604645 ms,0.29999999701976776 ms
0.7000000029802322 ms,0.7000000029802322 ms
0.4000000059604645 ms,0.8999999910593033 ms
0.7999999970197678 ms,0.5 ms
0.3999999910593033 ms,0.3999999910593033 ms
1.4000000059604645 ms,0.4000000059604645 ms
0.5 ms,0.29999999701976776 ms
0.4000000059604645 ms,0.3999999910593033 ms
0.3999999910593033 ms,1.1000000089406967 ms
0.4000000059604645 ms,0.5 ms
1.2999999970197678 ms,1.5 ms
0.5 ms,0.4000000059604645 ms
0.3999999910593033 ms,0.4000000059604645 ms
0.29999999701976776 ms,0.3999999910593033 ms
0.7999999970197678 ms,0.5 ms
1 ms,0.29999999701976776 ms
0.5 ms,0.29999999701976776 ms
0.5999999940395355 ms,0.5 ms
0.5 ms,0.4000000059604645 ms
0.5 ms,0.4000000059604645 ms
0.5 ms,0.29999999701976776 ms
0.3999999910593033 ms,0.5 ms
0.5 ms,0.9000000059604645 ms
0.3999999910593033 ms,0.4000000059604645 ms
