Browser Name,Browser Version
firefox,125.0.3
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
12 ms,12 ms
7 ms,10 ms
12 ms,10 ms
7 ms,11 ms
6 ms,9 ms
7 ms,10 ms
11 ms,9 ms
8 ms,10 ms
9 ms,10 ms
15 ms,11 ms
8 ms,10 ms
12 ms,12 ms
7 ms,12 ms
11 ms,13 ms
8 ms,13 ms
8 ms,12 ms
8 ms,11 ms
6 ms,10 ms
12 ms,9 ms
11 ms,10 ms
8 ms,10 ms
13 ms,9 ms
7 ms,9 ms
5 ms,10 ms
6 ms,10 ms
13 ms,9 ms
8 ms,9 ms
15 ms,10 ms
32 ms,10 ms
8 ms,10 ms
8 ms,9 ms
23 ms,10 ms
13 ms,9 ms
12 ms,10 ms
17 ms,10 ms
8 ms,9 ms
9 ms,9 ms
10 ms,9 ms
8 ms,10 ms
6 ms,10 ms
9 ms,9 ms
7 ms,9 ms
10 ms,10 ms
8 ms,10 ms
8 ms,10 ms
12 ms,11 ms
8 ms,10 ms
12 ms,11 ms
9 ms,11 ms
9 ms,10 ms
15 ms,10 ms
10 ms,9 ms
10 ms,9 ms
9 ms,10 ms
13 ms,10 ms
7 ms,11 ms
7 ms,9 ms
9 ms,10 ms
7 ms,9 ms
13 ms,9 ms
9 ms,10 ms
9 ms,9 ms
10 ms,9 ms
10 ms,10 ms
15 ms,10 ms
10 ms,10 ms
9 ms,10 ms
13 ms,10 ms
11 ms,10 ms
9 ms,10 ms
10 ms,10 ms
13 ms,10 ms
9 ms,9 ms
7 ms,11 ms
12 ms,14 ms
9 ms,12 ms
8 ms,11 ms
8 ms,9 ms
18 ms,10 ms
10 ms,11 ms
10 ms,12 ms
11 ms,11 ms
7 ms,11 ms
9 ms,11 ms
9 ms,11 ms
11 ms,11 ms
7 ms,11 ms
6 ms,10 ms
9 ms,10 ms
6 ms,9 ms
11 ms,11 ms
8 ms,9 ms
9 ms,9 ms
9 ms,11 ms
21 ms,9 ms
15 ms,12 ms
8 ms,12 ms
8 ms,9 ms
13 ms,10 ms
7 ms,9 ms
7 ms,9 ms
11 ms,10 ms
15 ms,10 ms
7 ms,9 ms
6 ms,10 ms
9 ms,11 ms
6 ms,9 ms
11 ms,9 ms
11 ms,9 ms
8 ms,9 ms
8 ms,9 ms
10 ms,10 ms
11 ms,10 ms
10 ms,10 ms
9 ms,8 ms
12 ms,9 ms
7 ms,10 ms
7 ms,10 ms
8 ms,9 ms
12 ms,9 ms
11 ms,10 ms
8 ms,12 ms
9 ms,11 ms
7 ms,10 ms
13 ms,10 ms
7 ms,10 ms
8 ms,11 ms
6 ms,9 ms
11 ms,10 ms
14 ms,10 ms
10 ms,9 ms
8 ms,9 ms
13 ms,10 ms
10 ms,9 ms
9 ms,11 ms
10 ms,11 ms
13 ms,12 ms
10 ms,9 ms
10 ms,9 ms
8 ms,10 ms
8 ms,10 ms
15 ms,9 ms
9 ms,10 ms
9 ms,10 ms
6 ms,10 ms
9 ms,9 ms
14 ms,10 ms
8 ms,9 ms
8 ms,10 ms
13 ms,9 ms
13 ms,9 ms
9 ms,11 ms
7 ms,10 ms
14 ms,10 ms
9 ms,10 ms
9 ms,10 ms
8 ms,9 ms
11 ms,9 ms
13 ms,9 ms
10 ms,11 ms
9 ms,10 ms
10 ms,10 ms
8 ms,9 ms
18 ms,10 ms
10 ms,9 ms
10 ms,9 ms
15 ms,11 ms
9 ms,9 ms
10 ms,10 ms
9 ms,9 ms
14 ms,9 ms
12 ms,9 ms
8 ms,9 ms
9 ms,10 ms
9 ms,8 ms
15 ms,11 ms
8 ms,10 ms
8 ms,9 ms
15 ms,9 ms
11 ms,10 ms
8 ms,9 ms
10 ms,10 ms
15 ms,11 ms
11 ms,10 ms
11 ms,9 ms
15 ms,13 ms
11 ms,11 ms
11 ms,10 ms
7 ms,9 ms
13 ms,9 ms
9 ms,10 ms
7 ms,10 ms
10 ms,8 ms
7 ms,13 ms
16 ms,9 ms
9 ms,11 ms
6 ms,9 ms
11 ms,11 ms
8 ms,9 ms
8 ms,10 ms
